date,futures_price
2017-10-03,10546.099609375
2017-10-04,10539.849609375
2017-10-05,10524.650390625
2017-10-06,10655.349609375
2017-10-09,10680.2001953125
2017-10-10,10726.2001953125
2017-10-11,10785.25
2017-10-12,10881.2998046875
2017-10-13,10924.2001953125
2017-10-16,10961.599609375
2017-10-17,10942.7001953125
2017-10-18,10910.150390625
2017-10-19,10890.7998046875
2017-10-23,10997.849609375
2017-10-24,10884.7998046875
2017-10-25,10925.4501953125
2017-10-26,10883.0498046875
2017-10-27,10862.0498046875
2017-10-30,10854.2998046875
2017-10-31,10837.900390625
2017-11-01,10817.2998046875
2017-11-02,10845.849609375
2017-11-03,10839.0498046875
2017-11-06,10929.900390625
2017-11-07,11172.099609375
2017-11-08,11245.900390625
2017-11-09,11248.4501953125
2017-11-10,11222.5498046875
2017-11-13,11236.2001953125
2017-11-14,11168.75
2017-11-15,11122.900390625
2017-11-16,11317.25
2017-11-17,11150.0
2017-11-20,11100.099609375
2017-11-21,11119.4501953125
2017-11-22,11117.5
2017-11-24,11306.400390625
2017-11-27,11314.25
2017-11-28,11270.599609375
2017-11-29,11232.9501953125
2017-11-30,11115.349609375
2017-12-01,10948.5
2017-12-04,11081.650390625
2017-12-05,11025.400390625
2017-12-06,11074.900390625
2017-12-07,11163.5
2017-12-08,11173.400390625
2017-12-11,11324.0
2017-12-12,11272.4501953125
2017-12-13,11251.7001953125
2017-12-14,11275.400390625
2017-12-15,11288.2998046875
2017-12-18,11315.2001953125
2017-12-19,11240.650390625
2017-12-20,11304.2001953125
2017-12-21,11374.2998046875
2017-12-22,11501.900390625
2017-12-26,11507.400390625
2017-12-27,11509.25
2017-12-28,11496.400390625
2017-12-29,11665.75
2018-01-02,11602.349609375
2018-01-03,11586.7001953125
2018-01-04,11590.7998046875
2018-01-05,11633.5498046875
2018-01-08,11776.849609375
2018-01-09,11790.849609375
2018-01-10,12054.7001953125
2018-01-11,12103.099609375
2018-01-12,12099.2001953125
2018-01-15,11992.7998046875
2018-01-16,12430.9501953125
2018-01-17,12531.400390625
2018-01-18,12570.7001953125
2018-01-19,12633.849609375
2018-01-22,12894.9501953125
2018-01-23,13048.900390625
2018-01-24,13249.5498046875
2018-01-25,13117.849609375
2018-01-29,13242.5
2018-01-30,13107.9501953125
2018-01-31,12986.400390625
2018-02-01,12964.599609375
2018-02-02,12983.599609375
2018-02-05,12936.900390625
2018-02-06,12562.349609375
2018-02-07,12450.0498046875
2018-02-08,12588.349609375
2018-02-09,12492.7001953125
2018-02-12,12422.650390625
2018-02-14,12420.0
2018-02-15,12456.5
2018-02-16,12437.9501953125
2018-02-19,12331.400390625
2018-02-20,12372.0
2018-02-21,12660.0498046875
2018-02-22,12730.25
2018-02-23,12871.150390625
2018-02-26,12713.150390625
2018-02-27,12746.7998046875
2018-02-28,12809.0
2018-03-01,12769.4501953125
2018-03-05,12857.650390625
2018-03-06,12706.099609375
2018-03-07,12677.150390625
2018-03-08,12682.400390625
2018-03-09,12747.25
2018-03-12,12923.400390625
2018-03-13,12734.2001953125
2018-03-14,12786.9501953125
2018-03-15,12762.2998046875
2018-03-16,12698.400390625
2018-03-19,12421.2998046875
2018-03-20,12609.099609375
2018-03-21,12608.849609375
2018-03-22,12489.599609375
2018-03-23,12541.099609375
2018-03-26,12462.400390625
2018-03-27,12518.2001953125
2018-03-28,12511.5498046875
2018-04-02,12707.099609375
2018-04-03,12615.4501953125
2018-04-04,12490.849609375
2018-04-05,12682.5498046875
2018-04-06,12603.349609375
2018-04-09,12531.2001953125
2018-04-10,12576.5498046875
2018-04-11,12759.099609375
2018-04-12,13168.2001953125
2018-04-13,13260.4501953125
