date,spot_price
2017-10-27,10323.0498046875
2017-10-30,10363.650390625
2017-10-31,10335.2998046875
2017-11-01,10440.5
2017-11-02,10423.7998046875
2017-11-03,10452.5
2017-11-06,10451.7998046875
2017-11-07,10350.150390625
2017-11-08,10303.150390625
2017-11-09,10308.9501953125
2017-11-10,10321.75
2017-11-13,10224.9501953125
2017-11-14,10186.599609375
2017-11-15,10118.0498046875
2017-11-16,10214.75
2017-11-17,10283.599609375
2017-11-20,10298.75
2017-11-21,10326.900390625
2017-11-22,10342.2998046875
2017-11-23,10348.75
2017-11-24,10389.7001953125
2017-11-27,10399.5498046875
2017-11-28,10370.25
2017-11-29,10361.2998046875
2017-11-30,10226.5498046875
2017-12-01,10121.7998046875
2017-12-04,10127.75
2017-12-05,10118.25
2017-12-06,10044.099609375
2017-12-07,10166.7001953125
2017-12-08,10265.650390625
2017-12-11,10322.25
2017-12-12,10240.150390625
2017-12-13,10192.9501953125
2017-12-14,10252.099609375
2017-12-15,10333.25
2017-12-18,10388.75
2017-12-19,10463.2001953125
2017-12-20,10444.2001953125
2017-12-21,10440.2998046875
2017-12-22,10493.0
2017-12-26,10531.5
2017-12-27,10490.75
2017-12-28,10477.900390625
2017-12-29,10530.7001953125
2018-01-02,10442.2001953125
2018-01-03,10443.2001953125
2018-01-04,10504.7998046875
2018-01-05,10558.849609375
2018-01-08,10623.599609375
2018-01-09,10637.0
2018-01-10,10632.2001953125
2018-01-11,10651.2001953125
2018-01-12,10681.25
2018-01-15,10741.5498046875
2018-01-16,10700.4501953125
2018-01-17,10788.5498046875
2018-01-18,10817.0
2018-01-19,10894.7001953125
2018-01-22,10966.2001953125
2018-01-23,11083.7001953125
2018-01-24,11086.0
2018-01-25,11069.650390625
2018-01-29,11130.400390625
2018-01-30,11049.650390625
2018-01-31,11027.7001953125
2018-02-01,11016.900390625
2018-02-02,10760.599609375
2018-02-05,10666.5498046875
2018-02-06,10498.25
2018-02-07,10476.7001953125
2018-02-08,10576.849609375
2018-02-09,10454.9501953125
2018-02-12,10539.75
2018-02-14,10500.900390625
2018-02-15,10545.5
2018-02-16,10452.2998046875
2018-02-19,10378.400390625
2018-02-20,10360.400390625
2018-02-21,10397.4501953125
2018-02-22,10382.7001953125
2018-02-23,10491.0498046875
2018-02-26,10582.599609375
2018-02-27,10554.2998046875
2018-02-28,10492.849609375
2018-03-01,10458.349609375
2018-03-05,10358.849609375
2018-03-06,10249.25
2018-03-07,10154.2001953125
2018-03-08,10242.650390625
2018-03-09,10226.849609375
2018-03-12,10421.400390625
2018-03-13,10426.849609375
2018-03-14,10410.900390625
2018-03-15,10360.150390625
2018-03-16,10195.150390625
2018-03-19,10094.25
2018-03-20,10124.349609375
2018-03-21,10155.25
2018-03-22,10114.75
2018-03-23,9998.0498046875
2018-03-26,10130.650390625
2018-03-27,10184.150390625
2018-03-28,10113.7001953125
2018-04-02,10211.7998046875
2018-04-03,10245.0
2018-04-04,10128.400390625
2018-04-05,10325.150390625
2018-04-06,10331.599609375
2018-04-09,10379.349609375
2018-04-10,10402.25
2018-04-11,10417.150390625
2018-04-12,10458.650390625
2018-04-13,10480.599609375
2018-04-16,10528.349609375
2018-04-17,10548.7001953125
2018-04-18,10526.2001953125
2018-04-19,10565.2998046875
2018-04-20,10564.0498046875
2018-04-23,10584.7001953125
2018-04-24,10614.349609375
2018-04-25,10570.5498046875
2018-04-26,10617.7998046875
