date,spot_price,futures_price,spread_points,spread_pct,annual_return_potential
2021-12-10,17511.30078125,35939.6015625,18428.30078125,105.2366184069082,420.9464736276328
2021-12-13,17368.25,36050.55078125,18682.30078125,107.56582143422624,430.26328573690495
2021-12-14,17324.900390625,36102.55078125,18777.650390625,108.38532959638904,433.54131838555617
2021-12-15,17221.400390625,35737.19921875,18515.798828125,107.51622056359973,430.0648822543989
2021-12-16,17248.400390625,36160.30078125,18911.900390625,109.64437259297482,438.5774903718993
2021-12-17,16985.19921875,36647.8984375,19662.69921875,115.76372443747556,463.05489774990224
2021-12-20,16614.19921875,35916.44921875,19302.25,116.17923768613774,464.71695074455096
2021-12-21,16770.849609375,36627.1484375,19856.298828125,118.39769177242647,473.5907670897059
2021-12-22,16955.44921875,36989.1484375,20033.69921875,118.15493037244893,472.6197214897957
2021-12-23,17072.599609375,37362.8515625,20290.251953125,118.84687989744165,475.3875195897666
2021-12-24,17003.75,37727.80078125,20724.05078125,121.87929592736897,487.5171837094759
2021-12-27,17086.25,37988.5,20902.25,122.33374789670057,489.3349915868023
2021-12-28,17233.25,38357.80078125,21124.55078125,122.58019109134956,490.32076436539825
2021-12-29,17213.599609375,38274.6484375,21061.048828125,122.35121825800208,489.4048730320083
2021-12-30,17203.94921875,38658.80078125,21454.8515625,124.70887521056552,498.8355008422621
2021-12-31,17354.05078125,38701.05078125,21347.0,123.00874458120256,492.03497832481025
2022-01-03,17625.69921875,39123.80078125,21498.1015625,121.97020552597759,487.88082210391036
2022-01-04,17805.25,39370.69921875,21565.44921875,121.11848594515662,484.4739437806265
2022-01-05,17925.25,38609.1484375,20683.8984375,115.38973480146721,461.55893920586885
2022-01-06,17745.900390625,38009.0,20263.099609375,114.18468019847454,456.73872079389815
2022-01-07,17812.69921875,38139.8515625,20327.15234375,114.11607019307459,456.46428077229837
2022-01-10,18003.30078125,38212.19921875,20208.8984375,112.25107375058177,449.00429500232707
2022-01-11,18055.75,38605.44921875,20549.69921875,113.81249307699764,455.24997230799056
2022-01-12,18212.349609375,38604.75,20392.400390625,111.97017863157971,447.88071452631885
2022-01-13,18257.80078125,38607.0,20349.19921875,111.4548212161882,445.8192848647528
2022-01-14,18255.75,38826.8515625,20571.1015625,112.68286190652262,450.73144762609047
2022-01-17,18308.099609375,38804.94921875,20496.849609375,111.95509117111865,447.8203646844746
2022-01-18,18113.05078125,38091.75,19978.69921875,110.30002322651937,441.2000929060775
2022-01-19,17938.400390625,37281.69921875,19343.298828125,107.8317932865086,431.3271731460344
2022-01-20,17757.0,36662.19921875,18905.19921875,106.46617795094893,425.86471180379573
2022-01-21,17617.150390625,36054.6015625,18437.451171875,104.65626257971053,418.6250503188421
2022-01-24,17149.099609375,34821.6015625,17672.501953125,103.05206894631289,412.20827578525154
2022-01-25,17277.94921875,34707.44921875,17429.5,100.87713408189403,403.5085363275761
2022-01-27,17110.150390625,33475.05078125,16364.900390625,95.64439830751962,382.5775932300785
2022-01-28,17101.94921875,33851.94921875,16750.0,97.94205201846738,391.7682080738695
2022-01-31,17339.849609375,34824.55078125,17484.701171875,100.83536804391709,403.34147217566834
2022-02-01,17576.849609375,35371.6484375,17794.798828125,101.23997885624367,404.95991542497467
2022-02-02,17780.0,35788.75,18008.75,101.28655793025871,405.14623172103484
2022-02-03,17560.19921875,35056.80078125,17496.6015625,99.6378306677632,398.5513226710528
2022-02-04,17516.30078125,35080.1015625,17563.80078125,100.27117597826847,401.0847039130739
2022-02-07,17213.599609375,34621.25,17407.650390625,101.12731088008063,404.5092435203225
2022-02-08,17266.75,34521.55078125,17254.80078125,99.93079636439978,399.72318545759913
2022-02-09,17463.80078125,34983.30078125,17519.5,100.31894098797669,401.27576395190675
2022-02-10,17605.849609375,35341.8515625,17736.001953125,100.73925625083548,402.9570250033419
2022-02-11,17374.75,34379.05078125,17004.30078125,97.86788748758974,391.47154995035896
2022-02-14,16842.80078125,33880.6484375,17037.84765625,101.15804299732105,404.6321719892842
2022-02-15,17352.44921875,34913.30078125,17560.8515625,101.20099670728217,404.8039868291287
2022-02-16,17322.19921875,34801.94921875,17479.75,100.90953105469116,403.63812421876463
2022-02-17,17304.599609375,34634.1015625,17329.501953125,100.14390592277273,400.5756236910909
2022-02-18,17276.30078125,34483.1015625,17206.80078125,99.59771480665914,398.39085922663656
2022-02-21,17206.650390625,34472.05078125,17265.400390625,100.34143775032479,401.36575100129915
2022-02-22,17092.19921875,34129.55078125,17037.3515625,99.67910708535487,398.7164283414195
2022-02-23,17063.25,34114.30078125,17051.05078125,99.928505889851,399.714023559404
2022-02-24,16247.9501953125,32547.900390625,16299.9501953125,100.32004037047702,401.28016148190807
2022-02-25,16658.400390625,33476.94921875,16818.548828125,100.96136744071855,403.8454697628742
2022-02-28,16793.900390625,33847.8515625,17053.951171875,101.548483527955,406.19393411182
2022-03-02,16605.94921875,33720.0,17114.05078125,103.0597562103002,412.2390248412008
2022-03-03,16498.05078125,34130.30078125,17632.25,106.87474680365887,427.49898721463546
2022-03-04,16245.349609375,34177.69921875,17932.349609375,110.3845102787228,441.5380411148912
2022-03-07,15863.150390625,34135.8984375,18272.748046875,115.1899061467264,460.7596245869056
2022-03-08,16013.4501953125,35055.55078125,19042.1005859375,118.91316583050637,475.6526633220255
2022-03-09,16345.349609375,35440.55078125,19095.201171875,116.82344904340745,467.2937961736298
2022-03-10,16594.900390625,35399.1015625,18804.201171875,113.31313071633804,453.25252286535215
2022-03-11,16630.44921875,35348.69921875,18718.25,112.5540853033369,450.2163412133476
2022-03-14,16871.30078125,36028.0,19156.69921875,113.54607132628381,454.18428530513523
2022-03-15,16663.0,35097.8515625,18434.8515625,110.63344873372142,442.5337949348857
2022-03-16,16975.349609375,35729.6484375,18754.298828125,110.4796028340267,441.9184113361068
2022-03-17,17287.05078125,35643.6015625,18356.55078125,106.18671173893934,424.74684695575735
2022-03-21,17117.599609375,35377.75,18260.150390625,106.67471378769864,426.69885515079454
2022-03-22,17315.5,36070.44921875,18754.94921875,108.31306759117554,433.25227036470216
2022-03-23,17245.650390625,36082.0,18836.349609375,109.22377053181323,436.8950821272529
2022-03-24,17222.75,36516.75,19294.0,112.02624435702776,448.10497742811106
2022-03-25,17153.0,36152.30078125,18999.30078125,110.76371935667231,443.05487742668925
2022-03-28,17222.0,36026.05078125,18804.05078125,109.1862198423528,436.7448793694112
2022-03-29,17325.30078125,36146.75,18821.44921875,108.63562749293901,434.54250997175603
2022-03-30,17498.25,36463.55078125,18965.30078125,108.38398572000057,433.53594288000227
2022-03-31,17464.75,36317.19921875,18852.44921875,107.94571476116177,431.78285904464707
2022-04-01,17670.44921875,36343.3984375,18672.94921875,105.67331360730915,422.6932544292366
2022-04-04,18053.400390625,36442.8984375,18389.498046875,101.86168615871685,407.4467446348674
2022-04-05,17957.400390625,36466.55078125,18509.150390625,103.07254941137276,412.29019764549105
2022-04-06,17807.650390625,35871.5,18063.849609375,101.4387031030488,405.7548124121952
2022-04-07,17639.55078125,35423.25,17783.69921875,100.8171888235001,403.2687552940004
2022-04-08,17784.349609375,35394.44921875,17610.099609375,99.02020594608562,396.0808237843425
2022-04-11,17674.94921875,34895.8984375,17220.94921875,97.43139290313555,389.7255716125422
2022-04-12,17530.30078125,34379.5,16849.19921875,96.11471833256569,384.45887333026275
2022-04-13,17475.650390625,34354.80078125,16879.150390625,96.58667925561157,386.3467170224463
2022-04-18,17173.650390625,32780.05078125,15606.400390625,90.87410093747131,363.49640374988525
2022-04-19,16958.650390625,31804.19921875,14845.548828125,87.53968320693636,350.15873282774544
2022-04-20,17136.55078125,32173.400390625,15036.849609375,87.74723572626766,350.98894290507064
2022-04-21,17392.599609375,32611.599609375,15219.0,87.50273301178404,350.0109320471362
2022-04-22,17171.94921875,32426.69921875,15254.75,88.83528483384626,355.34113933538504
2022-04-25,16953.94921875,31744.0,14790.05078125,87.23661130760694,348.94644523042774
2022-04-26,17200.80078125,31840.05078125,14639.25,85.10795622932707,340.4318249173083
2022-04-27,17038.400390625,31594.349609375,14555.94921875,85.43025686119623,341.7210274447849
2022-04-28,17245.05078125,31914.349609375,14669.298828125,85.06381926154991,340.25527704619964
2022-04-29,17102.55078125,31622.400390625,14519.849609375,84.89873700766036,339.59494803064143
2022-05-02,17069.099609375,31138.80078125,14069.701171875,82.42790477446967,329.71161909787867
2022-05-04,16677.599609375,30794.599609375,14117.0,84.64647389702529,338.58589558810115
2022-05-05,16682.650390625,31432.44921875,14749.798828125,88.4140018687547,353.6560074750188
2022-05-06,16411.25,30719.44921875,14308.19921875,87.18531019117984,348.74124076471935
2022-05-09,16301.849609375,30733.30078125,14431.451171875,88.52646489620199,354.10585958480794
2022-05-10,16240.0498046875,30427.19921875,14187.1494140625,87.35902650968193,349.4361060387277
2022-05-11,16167.099609375,30050.25,13883.150390625,85.87285738361146,343.49142953444584
2022-05-12,15808.0,29756.849609375,13948.849609375,88.23918022124873,352.9567208849949
2022-05-13,15782.150390625,29624.849609375,13842.69921875,87.71110955179414,350.84443820717655
2022-05-16,15842.2998046875,29403.5,13561.2001953125,85.60120918365617,342.40483673462467
2022-05-17,16259.2998046875,30218.75,13959.4501953125,85.85517434943932,343.4206973977573
2022-05-18,16240.2998046875,30077.69921875,13837.3994140625,85.2040884742076,340.8163538968304
2022-05-19,15809.400390625,28352.150390625,12542.75,79.33729104259938,317.3491641703975
2022-05-20,16266.150390625,28789.400390625,12523.25,76.98963614167602,307.95854456670406
2022-05-23,16214.7001953125,29079.30078125,12864.6005859375,79.3391208655003,317.3564834620012
2022-05-24,16125.150390625,28531.5,12406.349609375,76.93788466362415,307.7515386544966
2022-05-25,16025.7998046875,27566.099609375,11540.2998046875,72.01075731216858,288.0430292486743
2022-05-26,16170.150390625,27932.55078125,11762.400390625,72.74144090486945,290.9657636194778
2022-05-27,16352.4501953125,28641.599609375,12289.1494140625,75.15173119185062,300.60692476740246
2022-05-30,16661.400390625,29753.30078125,13091.900390625,78.57623059098636,314.3049223639454
2022-05-31,16584.55078125,29679.05078125,13094.5,78.95601257288351,315.82405029153404
2022-06-01,16522.75,29260.75,12738.0,77.09370413520752,308.37481654083007
2022-06-02,16628.0,29792.400390625,13164.400390625,79.17007692220953,316.6803076888381
2022-06-03,16584.30078125,29903.80078125,13319.5,80.31390756647913,321.2556302659165
2022-06-06,16569.55078125,29819.80078125,13250.25,79.9674666798686,319.8698667194744
2022-06-07,16416.349609375,29351.69921875,12935.349609375,78.79552956150447,315.18211824601786
2022-06-08,16356.25,29472.150390625,13115.900390625,80.18892099732518,320.75568398930073
2022-06-09,16478.099609375,29761.55078125,13283.451171875,80.61276170655962,322.4510468262385
2022-06-10,16201.7998046875,29114.30078125,12912.5009765625,79.69794178561976,318.79176714247905
2022-06-13,15774.400390625,27914.599609375,12140.19921875,76.96139896363434,307.84559585453735
2022-06-14,15732.099609375,27953.349609375,12221.25,77.68352796798445,310.7341118719378
2022-06-15,15692.150390625,27812.44921875,12120.298828125,77.2379726577567,308.9518906310268
2022-06-16,15360.599609375,27136.44921875,11775.849609375,76.66269487414978,306.6507794965991
2022-06-17,15293.5,26732.44921875,11438.94921875,74.79615012096642,299.18460048386567
2022-06-20,15350.150390625,26966.19921875,11616.048828125,75.67384378995676,302.69537515982705
2022-06-21,15638.7998046875,27810.650390625,12171.8505859375,77.83110429157848,311.32441716631394
2022-06-22,15413.2998046875,27488.400390625,12075.1005859375,78.34208598385412,313.3683439354165
2022-06-23,15556.650390625,28027.80078125,12471.150390625,80.16603881604594,320.66415526418376
2022-06-24,15699.25,27777.80078125,12078.55078125,76.93711980667867,307.74847922671466
2022-06-27,15832.0498046875,28345.94921875,12513.8994140625,79.04156169567776,316.166246782711
